pm25,pm10,no,no2,nox,nh3,so2,co,o3,benzene,humidity,wind_speed,wind_direction,solar_radiation,rainfall,air_temperature,efficiency,efficiency_category
12.46271167,16.09739248,0.134938123,4.325129228,2.679533246,13.47462755,4.821301569,0.618234019,15.06349108,0.048336694,92.01841997,0.133542005,205.4919661,65.82197292,-0.285760125,30.71,28.57405343,Moderate
9.5958634,14.95434986,0.307633056,4.101504049,2.679533246,13.15128579,3.857989545,1.133141654,6.491355897,0.101745883,98.59217807,0.807967235,35.00620698,23.60620774,0.236759585,28.9,21.5451927,Low
8.004165664,18.0498557,0.510150904,3.669629727,2.392240125,15.32493975,6.204307523,1.067837846,6.092752962,-0.213145373,98.11858536,0.566758697,38.43377915,23.07548791,0.075608194,28.18,21.10458474,Low
7.905082815,14.8318572,0.817394305,4.047494492,2.932444626,12.67594195,4.049254933,1.409800497,3.428226692,-0.091200709,98.23993491,0.238825692,28.22330325,23.25174385,0.04984412,27.88,21.18679663,Low
8.876984618,19.36906162,1.089787443,3.941652695,2.938012627,17.50172442,5.434112583,1.59174165,2.684669361,-0.032101643,98.53699139,0.385218868,27.2697338,22.91497739,-0.060809575,27.42,20.0641054,Low
8.766929589,25.29462919,1.15984948,3.814567463,2.981998581,12.60827357,5.108380435,1.673049203,2.616816354,-0.014615077,98.94885198,0.646686722,26.38985972,23.06813512,0.331262901,27.1,19.56913531,Low
8.536752746,22.48761696,0.884794561,3.859908239,2.558728744,13.44455889,3.315181672,1.946627065,1.945337448,0.07840217,98.66124045,0.615850405,31.95319043,22.93859046,-0.118899409,26.63,20.01489755,Low
8.168757933,29.34527993,1.770681315,3.724996612,3.706226426,15.99542647,5.039654668,1.501927737,1.423319679,0.049590537,98.69353456,0.658555322,52.51491641,22.75108186,-0.294084063,26.55,19.26573152,Low
7.68492322,29.13590634,1.92224559,3.840856944,3.926041845,13.70486885,0.978442626,1.396460906,0.762234744,0.278920218,98.9445531,0.39955587,45.5281466,23.0595778,-0.109765421,26.33,19.42080642,Low
8.85407167,26.96700911,2.172397396,3.672758552,3.754754725,20.39954378,2.725848615,1.498786623,1.263539635,0.051584567,98.83759004,0.275946646,34.68243226,22.62520376,0.170221918,26.04,18.94416524,Low
8.597334244,32.47457464,2.588394494,3.82699988,4.252099143,12.86456358,2.925030068,1.107405172,1.413911002,-0.099068657,98.97636389,0.32769745,31.84891072,23.49814486,0.206277506,25.87,18.56592171,Low
6.429051925,23.4485678,2.592250675,3.316507108,4.078623754,16.56008487,1.528291689,1.214112103,0.631952996,-0.370349819,98.79413695,0.130298705,62.7291354,22.90979509,-0.103549061,25.56,20.48835563,Low
6.435422704,18.34333608,3.13778694,3.584031796,4.431885623,18.13197385,3.715949043,1.145371635,1.135536762,-0.225154285,98.63347819,0.442672267,32.25599968,22.82659986,0.024334223,25.33,20.26953838,Low
5.951624313,18.7883553,3.442798984,3.600144838,4.798153984,14.89705373,1.607692431,1.193516296,0.323881881,0.120964377,98.41275139,0.531342266,53.30160911,54.1135669,0.131365903,25.42,23.55134445,Low
6.919393783,21.62428677,3.648343237,3.483030321,4.900455584,21.81777497,2.545697609,1.167763051,1.153144227,-0.151405701,98.91700822,0.218002638,73.94075307,169.447634,-0.019116431,26.02,33.32783122,Moderate
7.595128683,23.04934723,3.704491708,4.294884793,5.106490755,14.73608934,2.779872599,1.297964596,2.532497114,0.067286922,98.75245136,0.866671137,89.98331582,286.3962172,-0.086692841,26.75,43.94783109,Moderate
6.43343823,24.17247281,2.526826321,4.366360776,4.253037673,15.55574283,1.394139981,1.281486066,4.864897983,0.008646109,97.4792827,0.861776614,87.406245,600.1068656,-0.178376773,28.81,71.5538543,High
9.203844093,25.79352693,1.140753343,6.433873507,3.945011382,18.26292811,3.872286479,1.265671667,8.755497016,-0.026780967,88.22393326,1.26944905,78.5981806,850.6422085,-0.133181264,30.94,91.98096355,Very High
7.003289116,19.55593056,0.718883717,8.888370563,5.224534385,12.53651472,2.154719055,1.017642951,12.01066213,0.113925627,84.21651659,0.875751061,62.12594498,896.2022851,0.056679948,32.39,96.77675602,Very High
7.318560125,17.45732319,0.211309378,4.78783463,2.206901372,12.02468793,1.263486293,0.922340786,15.16634514,-0.305495542,81.67768905,0.648865165,25.96394741,814.4873885,0.082003343,33.01,89.79480321,Very High
6.591728437,16.83168786,4.078424344,23.27912811,15.2434303,12.72052578,1.39409153,0.917107504,13.94757172,0.065500754,79.58105666,0.716928094,46.09906031,683.5674208,-0.243794707,33.47,76.16288703,Very High
7.127812112,15.59469912,0.586019277,9.988626462,5.628089694,12.98738406,0.985511814,0.935865172,14.3903256,-0.024504595,77.22206848,0.776472303,111.6850062,670.3859418,-0.33582032,33.97,78.27727506,Very High
6.859034722,16.73385385,0.309207621,4.728563016,2.57783385,14.12806428,0.997211578,1.002872208,13.65313714,-0.095936351,77.87906153,0.593736637,77.56472359,419.5133163,-0.192569518,33.61,56.11537094,High
8.577021567,12.64537827,-0.020149699,5.061733174,2.768560847,12.50172701,1.46141229,0.847508638,14.12054983,0.07612983,77.96151343,0.511231951,68.90516806,200.6493387,0.02186443,33.16,37.25305521,Moderate
8.929237377,13.08681295,0.244484394,4.284077084,1.931284559,13.88671095,1.482351943,1.08361545,12.5820441,0.057562332,87.05652174,0.626983482,255.1738773,67.84695103,0.170517813,31.77,30.25947256,Moderate
7.521930938,14.81094789,0.341684104,5.587848059,3.024120886,12.56645441,1.765566777,1.440177824,7.472161055,0.129943455,93.64760898,0.782655234,315.852333,23.54032991,0.033747825,30.13,27.59613298,Moderate
6.824418308,16.74045529,0.936095179,7.68446522,4.643525197,11.59912372,1.514829816,2.257366705,4.44519578,0.123226277,94.28354744,0.033757721,295.6567896,23.00372526,0.239731632,29.55,26.4046246,Moderate
9.282174019,19.84610553,1.70541133,6.664192344,5.15778807,14.41025399,1.026071164,2.308705024,4.755304038,-0.133725921,91.89584791,0.172856069,32.5488735,22.52902178,-0.047026159,29.32,19.61866589,Low
7.617171287,22.19479692,1.28243271,5.521026364,3.715007606,12.05318276,1.133460391,2.412035312,2.977132288,0.005008588,95.57711783,0.555559584,111.9326568,23.12063817,-0.173085196,28.95,21.75646466,Low
7.777194912,23.76358032,2.237534892,5.402593036,3.980694181,14.11572612,1.374330819,2.768560955,0.478814193,0.054264847,98.86353891,0.491769519,191.6454966,23.15318418,0.135906672,28.07,23.10743767,Low
9.949675092,35.42765891,2.308183861,4.952630343,4.507687719,12.98083383,1.396342726,3.050526395,0.345355236,0.279854912,98.63139789,0.282480079,85.26064908,23.38300461,-0.152967047,27.74,18.97266212,Low
12.19536109,38.9553289,3.065794627,4.789022092,4.900388513,13.29529621,1.536153722,2.663178442,0.579420795,-0.004400899,98.52536763,0.590438718,135.730334,22.95371833,-0.098523541,27.32,19.22916962,Low
12.70899801,34.73717843,2.447352023,4.480390445,4.439327049,13.8358521,1.787665456,2.446121549,0.25835241,0.146953906,98.8213371,0.137465605,133.8567247,22.87370171,-0.083836209,27.31,19.7127718,Low
